"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
79,,"Handschwengelpumpe [abgebaut]",Zentrum-Ost,"Lange Straße",5133938,1239381,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte, nahe der Dresdner Straße","abgebaut, mit großer Steinplatte abgedeckt [Anke]",,,09292773,
80,245,"Handschwengelpumpe [abgebaut]",Schönefeld-Abtnaundorf,Lazarusstraße,5136083,1241528,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 24","wahrscheinlich abgebaut",,,09294856,
81,18,Handschwengelpumpe,Zentrum-Nordwest,Leibnizstraße,513433181,123646699,,"Handschwengelpumpe Nr. 18 mit Brunnenschacht und Abdeckplatte (Typ Gotik) vor Nr. 15/17","wahrscheinlich abgebaut",,,09294890,
82,226,Handschwengelpumpe,Dölitz-Dösen,Leinestraße,5128604,1241067,"um 1900 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte auf einem kleinen Platz vor Nr. 52 (Typ Delphin; Insel hinter dem Teich)","wahrscheinlich nur verosteter<Fragezeichen> Torso vorhanden",,,09296136,
83,118,Handschwengelpumpe,Zentrum-Südost,Leplaystraße,5133439,123784779,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Grünewaldstraße (Typ Gotik)","abgebaut [Anke]",,,09291505,
84,16,"Handschwengelpumpe [abgebaut]",Zentrum-West,Lessingstraße,5134205,1236584,,"Handschwengelpumpe Nr. 16 mit Brunnenschacht und Abdeckplatte vor Nr. 13","wahrscheinlich abgebaut",,,09291162,
85,265,Handschwengelpumpe,Gohlis-Süd,"Lindenthaler Straße",5135934,1236543,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Berggartenstraße vor Nr. 1 (Typ Delphin)","wahrscheinlich nur verosteter<Fragezeichen> Torso vorhanden",,,09294882,
86,235,"Handschwengelpumpe [rekonstruiert]",Lößnig,"Lobstädter Straße 9",5129841,1238863,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 9 und in Ecklage Ernst-Toller-Straße (Typ Vogelkäfig)",,,,09296547,
87,19,"Handschwengelpumpe [rekonstruiert]",Zentrum-Nordwest,"Lortzingstraße 3",5134528,1237062,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 3, hinter dem Naturkundemuseum (Typ Delphin)",,,,09290393,
89,62,Handschwengelpumpe,Neustadt-Neuschönefeld,Ludwig-Erhard-Straße,513409748,123953792,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte; Typ Kleiner Löwe",,,,09263878,
88,66,"Handschwengelpumpe [rekonstruiert]",Zentrum-Ost,"Ludwig-Erhard-Straße 53",5134468,1239305,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 51/53 (Typ Kleiner Löwe)","betriebsbereit [Anke]","bisher nicht erforderlich","21.7.21, 4.8.21",09294862,
90,188,"Handschwengelpumpe [Torso]",Neustadt-Neuschönefeld,Ludwigstraße,5134663,1240026,"um 1900 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Neustädter Straße (Typ Delphin), gegenüber Ludwigstraße 20","wahrscheinlich nur alter Torso vorhanden",,,09293347,
91,182,Handschwengelpumpe,Volkmarsdorf,Ludwigstraße,5134602,1241148,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Haus Nr. 115 (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294594,
91,179,Handschwengelpumpe,Volkmarsdorf,Ludwigstraße,5134616,1240892,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 99 in Ecklage Elisabethstraße (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294584,
92,25,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Magazingasse 1 (andere Straßenseite)",5133728,1237649,"nach 1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Neumarkt (Typ Vogelkäfig)","Brunnen verpresst [Bau und Service Leipzig GmbH]",,,09290375,
93,276,"Handschwengelpumpe [abgebaut]",Eutritzsch,Magnusstraße,5137448,1238577,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte neben Haus Delitzscher Straße 160","wahrscheinlich abgebaut",,,09294854,
94,189,"Handschwengelpumpe [rekonstruiert]",Neustadt-Neuschönefeld,"Mariannenstraße 10",5134730,1239777,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Delphin)",betriebsbereit,,,09293310,
95,180,"Handschwengelpumpe [Torso]",Volkmarsdorf,Mariannenstraße,5134675,1240906,,"Torso einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 91 in Ecklage eines öffentlichen Platzes und in Ecklage Elisabethstraße","wahrscheinlich nur alter Torso vorhanden",,,09294887,
96,181,Handschwengelpumpe,Volkmarsdorf,Mariannenstraße,5134653,1241151,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 102 in Ecklage Idastraße (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294629,
97,184,"Handschwengelpumpe [abgebaut]",Volkmarsdorf,Mariannenstraße,5134650,1241373,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 121 in Ecklage Bennigsenstraße","wahrscheinlich abgebaut",,,09294863,
98,64,"Handschwengelpumpe [rekonstruiert]",Zentrum-Ost,Marienplatz,5134289,12392808,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Delphin)","betriebsbereit, wenn mit ca. 4 L Wasser gefüttert wurde",21.7.21.,"04.08.2021, 8.8.21",09290408,
99,93,Handschwengelpumpe,Zentrum-Süd,Markthallenstraße,513351637,123763337,,"Handschwengelpumpe mit Brunnenschacht und Fassung","Standort nicht gefunden, wahrscheinlich gar nicht mehr vorhanden (jetzt Eingang S-Bahn-Station) [Anke]",,,09263552,
159,,,Liebertwolkwitz,"Marktplatz Liebertwolkwitz",512826373,124639511,,"(spezieller Typ)",,,
100,198,"Handschwengelpumpe [abgebaut]",Connewitz,"Meusdorfer Straße",5130647,1238037,"19. September 2013 Pumpenkörper nicht mehr vorhanden","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 61","wahrscheinlich abgebaut",,,09297155,
101,199,Handschwengelpumpe,Gohlis-Mitte,Michael-Kazmierczak-Straße,5136590,1237288,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Delphin)","wahrscheinlich nur verosteter<Fragezeichen> Torso vorhanden",,,09262281,
102,201,"Handschwengelpumpe [Torso]",Gohlis-Mitte,Michael-Kazmierczak-Straße,5136791,1237357,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Adolf-Menzel-Straße (Typ Delphin)","wahrscheinlich nur verosteter Torso vorhanden",,,09294879,
103,,,"Leipzig-Zentrum","Naschmarkt (Löwenbrunnen)",5133997,12375608,,,betriebsbereit,,
"104, 105, 106",38,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Neumarkt 2",5133971,1237647,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 2 Ecke Grimmaische Straße (Typ Gotik); wiederaufgestellt nach Sanierung 2002",,,,09294781,
107,39,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Neumarkt 24",5133847,123762,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 24 (Typ Großer Löwe)",betriebsbereit,,,09294780,
108,138,"Handschwengelpumpe [abgebaut]",Neustadt-Neuschönefeld,"Neustädter Markt",5134771,1240318,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte an der Meißner Straße, in Nähe des Gefallenendenkmals vor der Kirche (Typ Kleiner Löwe) (Wasserpumpe abgebaut 12/1995)","wahrscheinlich abgebaut",,,09294888,
109,236,"Handschwengelpumpe [Torso]",Schleußig,Oeserstraße,5131940,1234106,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht in Ecklage Könneritzstraße Nr. 100 (Typ Großer Löwe)","abgebaut [Thorsten]",,,09261106,
110,,"Brunnenschacht und Abdeckplatte einer Handschwengelpumpe",Möckern,Olbrichtstraße,513709093,123560115,,"Brunnenschacht und Abdeckplatte einer Handschwengelpumpe vor der Hoffront Haus 39 des ehemaligen Kasernengeländes",,,,09300520,
111,243,"Handschwengelpumpe [rekonstruiert]",Schönefeld-Abtnaundorf,"Ossietzkystraße / Robert-Blum-Straße",5135949,1241243,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte an der Einmündung Robert-Blum-Straße (Typ Delphin)","betriebsbereit, wenn mit ca. 5 L Wasser gefüttert wurde",14.07.2021,,09264372,
112,,"Drei Handschwengelpumpen",Anger-Crottendorf,"Oststraße 119",5132845,12418274,,"Drei Handschwengelpumpen mit Brunnenschacht und Abdeckplatte auf dem Ostfriedhof, 3. Abteilung und vor der Kapelle Oststraße Nr. 119",,,,09299211,
113,176,"Handschwengelpumpe [abgebaut]",Zentrum-Süd,Paul-Gruner-Straße,5132764,1237985,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Arthur-Hoffmann-Straße","abgebaut [Anke]",,,09297307,
114,191,Handschwengelpumpe,Zentrum-Süd,Paul-Gruner-Straße,513275217,123804188,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (am Floßplatz)","Standort wahrscheinlich nicht mehr vorhanden",,,09297004,
115,1,"Handschwengelpumpe [rekonstruiert]",Zentrum-Süd,"Peterssteinweg 10",5133278,1237349,"nach 1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Münzgasse (Typ Vogelkäfig)",betriebsbereit,,,09297205,
116,114,"Handschwengelpumpe [rekonstruiert]",Zentrum-Nord,"Pfaffendorfer Straße / Ernst-Pinkert-Straße",5134945,1237232,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Ernst-Pinkert-Straße (Typ Gotik)",betriebsbereit,,,09292780,
117,156,Handschwengelpumpe,Zentrum-Südost,Philipp-Rosenthal-Straße,513287947,123859685,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in den ehemaligen Gärten zwischen Philipp-Rosenthal-Straße und Prager Straße (Typ K)","Standort nicht gefunden, wahrscheinlich abgebaut [Anke]",,,09299209,
118,195,"Handschwengelpumpe [Torso]",Stötteritz,"Prager Straße / Egon-Erwin-Kisch-Weg",5131665,1240961,"1910 (Handschwengelpumpe), 19. September 2013 nur noch Pumpenunterteil vorhanden","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Egon-Erwin-Kisch-Weg (Typ Großer Löwe)","abgebaut, nur noch Pumpenunterteil vorhanden [Anke]",,,09263032,
119,159,Handschwengelpumpe,Connewitz,Prinz-Eugen-Straße,513031503,123745896,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 11","wahrscheinlich abgebaut",,,09292901,
120,177,Handschwengelpumpe,Connewitz,Prinz-Eugen-Straße,513031503,123745896,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 29, neben Nr. 25 (am ehemaligen Dorfteich Connewitz)",,,,09297085,
121,160,Handschwengelpumpe,Connewitz,"Prinz-Eugen-Straße 19",5130182,1237913,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte auf dem Grundstückshof (Privatgelände)","könnte intakt sein!<Fragezeichen>",,,09292413,
122,141,"Handschwengelpumpe [abgebaut]",Neustadt-Neuschönefeld,Rabet,5134379,124016,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 14 (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294889,
123,63,"Handschwengelpumpe [abgebaut]",Zentrum-Ost,"Reudnitzer Straße 7-9",5134396,1239203,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 7/9","wahrscheinlich abgebaut",,,09299199,
124,279,Handschwengelpumpe,Reudnitz-Thonberg,"Riebeckstraße 29",5132847875,12404308602085607,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht vor Nr. 29 in Ecklage Witzgallstraße (Typ Großer Löwe)","Standort nicht gefunden, wahrscheinlich bepflanzt [Anke]",,,09294875,
125,123,Handschwengelpumpe,Zentrum-Süd,"Riemannstraße 54",513317585,123709032,"um 1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht in Ecklage Harkortstraße, gegenüber Riemannstraße 54 (Typ Kleiner Löwe)","wahrscheinlich abgebaut",,,09297218,
126,212,Handschwengelpumpe,Sellerhausen-Stünz,"Riesaer Straße 1",513465825,124381821,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte","verrosteter Torso mit Schwengel vorhanden [Rüdiger]",,,09262177,
127,252,,"Leipzig-Zentrum",Ritterstraße,513418951,123796194,,"Abzweig n. Goethestr. ","wahrscheinlich abgebaut",,
128,60,Handschwengelpumpe,Zentrum-Ost,Rosa-Luxemburg-Straße,5134381,123874,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Hofmeisterstraße (Typ Großer Löwe)","wahrscheinlich intakt",,,09290538,
129,,Handschwengelpumpe,Neustadt-Neuschönefeld,Rosa-Luxemburg-Straße,513455265,123927237,"1900/1905 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte, Typ Kleiner Löwe",,,,09293498,
130,,"Handschwengelpumpe [rekonstruiert]",Liebertwolkwitz,Roßmarkt,5128472,124645,"um 1890 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte; sehr schlanke Form, kulturhistorische Bedeutung",betriebsbereit,,,09299340,
131,225,Handschwengelpumpe,Probstheida,Russenstraße,5130642,1242762,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Einmündung der Augustinerstraße","wahrscheinlich abgebaut",,,09294867,
132,,Handschwengelpumpe,Probstheida,"Russenstraße 4 (im Park an der Russenstraße)",513066812,124249835,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 4 auf dem Dorfanger (Typ Delphin)","abgebaut [Anke]",,,09294866,
133,197,Handschwengelpumpe,Gohlis-Süd,Schachtstraße,5136380,1236019,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Georg-Schumann-Straße (Typ Delphin)","wahrscheinlich nur verosteter<Fragezeichen> Torso vorhanden",,,09294851,
134,233,Handschwengelpumpe,Eutritzsch,Schiebestraße,51363112,123859803,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte, in Ecklage Magdalenenstraße (Typ Vogelkäfig)","wahrscheinlich abgebaut",,,09294528,
135,57,"Handschwengelpumpe [rekonstruiert]",Zentrum-Ost,"Schützenstraße 8",5134243,12384303,,"Handschwengelpumpe mit Brunnenschacht Ecke Querstraße vor Nr. 8/10 (Typ Gotik)",,,,09293047,
136,217,Handschwengelpumpe,Zentrum-West,Sebastian-Bach-Straße,513365252,123601622,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Schreberstraße (Ganzplatte)","Standort nicht mehr vorhanden [Bau und Service GmbH]",,,09292424,
138,85,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,Seeburgstraße,5133449,1238556,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Talstraße 12b","Standort nicht gefunden [Anke]",,,09292785,
139,87,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,"Seeburgstraße 11",5133512,1238259,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 11","abgebaut [Anke]",,,09299163,
137,86,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,"Seeburgstraße 11 (andere Straßenseite)",5133488,1238325,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Nürnberger Straße","abgebaut [Anke]",,,09294855,
140,289,Handschwengelpumpe,Stötteritz,"Sommerfelder Straße 14 (andere Straßenseite)",5132070,12424345,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte sowie Wartungsschacht auf dem Schmuckplatz an der Stötteritzer Kirche","abgebaut [Anke] --> wäre schöner Standort",,,09262759,
141,88,"Handschwengelpumpe [abgebaut]",Zentrum-Südost,"Sternwartenstraße 23",5133489,1238084,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 23/25 (Typ Gotik)","abgebaut [Anke]",,,09290936,
142,167,Handschwengelpumpe,Neulindenau,Stockmannstraße,5132566,1231948,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor dem Haupteingang zum Plagwitzer Friedhof","wahrscheinlich nur alter Torso vorhanden",,,09260925,
143,152,"Handschwengelpumpe [abgebaut]",Reudnitz-Thonberg,Täubchenweg,5133620,1240146,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 51/53 (Typ Delphin)","abgebaut [Anke]",,,09293701,
144,200,Handschwengelpumpe,Eutritzsch,Theresienstraße,513631527,123947877,"um 1910 (Wasserversorgungs- und Abwasseranlage)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Haferkornstraße (Typ Delphin; im Juli 1993 abgebaut)","wahrscheinlich abgebaut",,,09294877,
145,,"Handschwengelpumpe [abgebaut]",Volkmarsdorf,"Torgauer Straße",5134220,1241142,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Wurzner Straße (Typ Kleiner Löwe)",,,,09294868,
146,210,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Universitätsstraße 16",5133852,1237755,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor dem Städtischen Kaufhaus (Typ Kleiner Löwe)",betriebsbereit,,,09262329,
147,215,"Handschwengelpumpe [Torso]",Gohlis-Mitte,Virchowstraße,5136560,1237537,,"Handschwengelpumpe mit Brunnenschacht vor Nr. 7 in Ecklage Daumierstraße (Typ Kleiner Löwe)","wahrscheinlich nur noch Stumpf vorhanden",,,09294881,
148,,,"Volkmarsdorf","Volkmarsdorfer Markt",5134326795,1240933497819476,,,,,
149,282,Handschwengelpumpe,Reudnitz-Thonberg,"Vor dem Hospitaltore 1",5133118,123954563,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Delphin<Fragezeichen>)","abgebaut, mit großer Metallplatte versiegelt [Anke]",,,09291851,
150,17,"Handschwengelpumpe [rekonstruiert]",Zentrum-Nordwest,"Waldstraße 48",5134554,1235732,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 48 (Typ Gotik)",,,,09294864,
151,186,Handschwengelpumpe,Anger-Crottendorf,Wichernstraße,5133327,1241971,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte neben Nr. 2 in Ecklage Zweinaundorfer Straße (Typ Delphin)","wahrscheinlich abgebaut",,,09294847,
152,241,Handschwengelpumpe,Altlindenau,William-Zipperer-Straße,513383921,123298653,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Calvisiusstraße (Typ Vogelkäfig)","wahrscheinlich abgebaut",,,09294849,
154,165,"Handschwengelpumpe [abgebaut]",Kleinzschocher,"Windorfer Straße",5131714,1232851,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 46/48 (Typ Delphin), möglicherweise nach Restaurierung vor Taborkirche versetzt (siehe Bild)",,,,09294865,
156,,,"Kleinzschocher","Windorfer Straße",513161458,123278245,,,,,
155,163,"Handschwengelpumpe [abgebaut]",Kleinzschocher,"Windorfer Straße 55a",5131314,1232707,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 55",betriebsbereit,,,09294871,
157,204,Handschwengelpumpe,Eutritzsch,"Wittenberger Straße",5135722,123872,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Dessauer Straße (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294893,
158,185,Handschwengelpumpe,Sellerhausen-Stünz,"Wurzner Straße",5134355,1242677,"um 1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 143a (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09261985,
159,,Handschwengelpumpe,Sellerhausen-Stünz,"Riesaer Straße 1",51347841,124368681,,"Handschwengelpumpe",,,,,